Regional;Distrito;Centros;Sector;Nivel;Coordenadas Latitud;Coordenadas Longitud;Matricula;Planta Fisica;Provincia;Municipio;Año
10 - SANTO DOMINGO;1005 - BOCA CHICA;16819 - COLEGIO LA CASITA DE NUNI;PRIVADO;INICIAL - PRIMARIO;18.453676,;-69.613292;193;32046194 - COLEGIO LA CASITA DE NUNI;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;16925 - PROF. JUAN EMILIO BOSCH GAVIÑO;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.460152,;-69.720171;733;32018392 - PROF. JUAN EMILIO BOSCH GAVIÑO;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;17057 - MANUEL ANTONIO CABRAL;PÚBLICO;ADULTOS;18.466608,;-69.606137;305;32045649 - COLOMBINA CASTRO;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1005 - BOCA CHICA;19047 - LA ALTAGRACIA;PÚBLICO;#REF!;;;273;32049936 - LA ALTAGRACIA;SANTO DOMINGO;BOCA CHICA;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00106 - JUNTA DE VECINOS;PÚBLICO;INICIAL - PRIMARIO;18.504629,;-69.823439;312;01120812 - JUNTA DE VECINOS;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00117 - FERNANDO ALBERTO DEFILLO;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.473798,;-69.818424;1347;01133011 - FERNANDO ALBERTO DEFILLO;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00133 - LILIA PORTALATIN SOSA;PÚBLICO;INICIAL - PRIMARIO;18.516267,;-69.821016;1772;01144512 - LILIA PORTALATIN SOSA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00139 - REPUBLICA DE COREA;PÚBLICO;INICIAL - PRIMARIO;18.465533,;-69.806192;634;01149111 - REPUBLICA DE COREA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00142 - REPUBLICA DE BELICE;PÚBLICO;INICIAL - PRIMARIO;18.518525,;-69.833813;983;01149913 - REPUBLICA DE BELICE;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00243 - LA GRUA;PÚBLICO;INICIAL - PRIMARIO;18.515835,;-69.794521;228;01177515 - LA GRUA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00244 - LOS ALIFONSOS;PÚBLICO;INICIAL - PRIMARIO;18.505651,;-69.808188;457;01177619 - LOS ALIFONSOS;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00245 - CENTRO SALESIANO MONS. JUAN FELIX PEPEN;PÚBLICO;INICIAL - PRIMARIO;18.525406,;-69.817411;1177;01178114 - SALESIANO MONSEÑOR JUAN FELIX PEPEN;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00248 - NUESTRA SEÑORA PERPETUO SOCORRO;PÚBLICO;INICIAL - PRIMARIO;18.51538,-;69.768065;1363;01179713 - NUESTRA SENORA PERPETUO SOCORRO;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00251 - SAN JOSE DE MENDOZA;PÚBLICO;INICIAL - PRIMARIO;18.499882,;-69.822066;1027;01180321 - SAN JOSE DE MENDOZA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00297 - CLUB SAN JOSE DE MENDOZA;PÚBLICO;INICIAL - PRIMARIO;18.506121,;-69.815972;441;01200412 - CLUB SAN JOSE DE MENDOZA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00298 - NELLY BIAGGI - FE Y ALEGRIA;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.528755,;-69.812666;1199;01200610 - NELLY BIAGGI - FE Y ALEGRIA;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00358 - FRAY BARTOLOME DE LAS CASAS;PÚBLICO;INICIAL - PRIMARIO;18.474497,;-69.789604;1020;01234514 - FRAY BARTOLOME DE LAS CASAS;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00369 - SILVESTRE ANTONIO GUZMAN FERNANDEZ;PÚBLICO;INICIAL - PRIMARIO;18.517598,;-69.80998;684;01240418 - ANTONIO GUZMAN FERNANDEZ;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00376 - ENRIQUILLO;PÚBLICO;INICIAL - PRIMARIO;18.519543,;-69.81764;609;01250011 - ENRIQUILLO;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00386 - BRISAS DEL ESTE;PÚBLICO;INICIAL - PRIMARIO;18.482290,;-69.811072;427;01259814 - BRISAS DEL ESTE (JAPON);SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;00411 - CARMEN QUIDIELLO DE BOSCH;PÚBLICO;INICIAL - PRIMARIO;18.479876,;-69.757643;1042;32012731 - CARMEN QUIDIELLO DE BOSCH;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;04848 - PROF. JUAN EMILIO BOSCH Y GAVIÑO;PÚBLICO;INICIAL - PRIMARIO;18.479271,;-69.795515;389;32005111 - PROF. JUAN EMILIO BOSCH GAVINO;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;04851 - 24 DE ABRIL;PÚBLICO;INICIAL - PRIMARIO - SECUNDARIO;18.477896,;-69.820867;791;32005911 - 24 DE ABRIL;SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
10 - SANTO DOMINGO;1006 - MENDOZA;04857 - MANUEL AURELIO TAVAREZ JUSTO (MANOLO);PÚBLICO;INICIAL - PRIMARIO;18.480016,;-69.825259;708;32016414 - MANUEL AURELIO TAVAREZ JUSTO (MANOLO);SANTO DOMINGO;SANTO DOMINGO ESTE;20232024
